readiness,importance,study_count,avg_study_hours,days_since_study,readiness_fluctuation,label
1,4,1,0.5,12,0.25,weak
2,4,2,0.8,10,0.2,weak
1,3,1,0.6,14,0.3,weak
2,3,2,1.0,8,0.18,weak
1,4,1,0.5,15,0.28,weak
2,4,2,0.9,9,0.22,weak
2,3,2,1.0,7,0.16,weak
1,3,1,0.7,11,0.24,weak
2,4,1,0.6,13,0.26,weak
1,4,2,0.8,10,0.21,weak
2,2,3,1.0,5,0.12,normal
3,3,4,1.2,3,0.08,normal
3,2,3,1.1,4,0.1,normal
2,3,4,1.3,6,0.14,normal
3,3,3,1.0,5,0.09,normal
2,2,4,1.4,4,0.11,normal
3,2,3,1.2,6,0.13,normal
3,3,4,1.5,3,0.07,normal
4,4,6,1.8,1,0.0,strong
4,3,5,2.0,2,0.02,strong
3,4,6,1.7,1,0.01,strong
4,4,7,2.2,0,0.0,strong
3,3,5,1.6,2,0.03,strong
4,3,6,1.9,1,0.01,strong
4,4,5,2.1,2,0.0,strong
1,4,1,0.59,13,0.24,weak
1,4,1,0.55,13,0.2,weak
2,4,1,0.51,7,0.26,weak
2,4,2,0.59,10,0.24,weak
2,4,1,0.72,6,0.23,weak
1,4,2,0.65,8,0.21,weak
2,4,1,0.52,8,0.25,weak
1,3,2,0.97,7,0.21,weak
2,3,2,0.84,12,0.24,weak
2,3,1,0.95,9,0.18,weak
2,4,2,0.76,15,0.24,weak
1,3,2,0.89,7,0.21,weak
2,4,1,0.96,13,0.24,weak
2,3,2,0.66,7,0.23,weak
2,4,1,0.64,14,0.19,weak
1,3,1,0.99,13,0.21,weak
2,4,1,0.91,6,0.26,weak
1,3,1,0.54,12,0.25,weak
3,2,3,1.31,4,0.06,normal
2,2,4,1.16,5,0.11,normal
3,2,3,1.24,3,0.15,normal
2,2,3,1.28,5,0.08,normal
2,2,3,1.21,4,0.09,normal
2,2,4,1.32,6,0.11,normal
3,3,3,1.12,3,0.1,normal
2,3,3,1.04,5,0.12,normal
3,3,4,1.4,3,0.06,normal
3,3,4,1.09,4,0.14,normal
3,3,3,1.45,5,0.14,normal
2,2,3,1.21,6,0.09,normal
2,2,4,1.26,3,0.1,normal
2,2,4,1.17,5,0.07,normal
3,3,4,1.35,3,0.06,normal
3,3,4,1.13,4,0.12,normal
2,2,4,1.02,3,0.15,normal
4,4,7,1.78,0,0.03,strong
4,4,5,1.99,1,0.01,strong
4,3,7,1.87,0,0.04,strong
4,3,6,2.13,2,0.04,strong
4,3,5,1.82,1,0.03,strong
3,4,7,1.72,1,0.03,strong
3,4,7,1.67,0,0.02,strong
3,4,5,2.18,0,0.01,strong
3,3,6,2.2,2,0.03,strong
4,4,5,2.02,0,0.01,strong
4,4,5,2.4,2,0.01,strong
3,3,7,2.23,2,0.04,strong
4,4,5,2.14,2,0.05,strong
4,4,6,1.51,1,0.05,strong
3,3,6,1.66,1,0.02,strong
